
=== public/legacy/templates/RVP.CFI.067.02PiperPA28MBandPerformanceSheet.pdf ===
Pages: 2
Fields: 95
001 | PDFTextField       | widgets 01 | Date
002 | PDFTextField       | widgets 01 | Airfield_DEPARTURE
003 | PDFTextField       | widgets 01 | Airfield_ARRIVAL
004 | PDFTextField       | widgets 01 | Airfield_ALTERNATE_1
005 | PDFTextField       | widgets 01 | Airfield_ALTERNATE_2
006 | PDFTextField       | widgets 01 | TODA_DEPARTURE
007 | PDFTextField       | widgets 01 | TODR_DEPARTURE
008 | PDFTextField       | widgets 01 | LDA_DEPARTURE
009 | PDFTextField       | widgets 01 | LDR_DEPARTURE
010 | PDFTextField       | widgets 01 | ROC_DEPARTURE
011 | PDFTextField       | widgets 01 | Pressure_Alt _DEPARTURE
012 | PDFTextField       | widgets 01 | Density_Alt_DEPARTURE
013 | PDFTextField       | widgets 01 | Wind_DEPARTURE
014 | PDFTextField       | widgets 01 | Temperature_DEPARTURE
015 | PDFTextField       | widgets 01 | QNH_DEPARTURE
016 | PDFTextField       | widgets 01 | Elevation_DEPARTURE
017 | PDFTextField       | widgets 01 | RWY_QFU_DEPARTURE
018 | PDFTextField       | widgets 01 | RWY_QFU_ARRIVAL
019 | PDFTextField       | widgets 01 | Elevation_ARRIVAL
020 | PDFTextField       | widgets 01 | QNH_ARRIVAL
021 | PDFTextField       | widgets 01 | Temperature_ARRIVAL
022 | PDFTextField       | widgets 01 | Wind_ARRIVAL
023 | PDFTextField       | widgets 01 | Pressure_Alt_ARRIVAL
024 | PDFTextField       | widgets 01 | Density_Alt_ARRIVAL
025 | PDFTextField       | widgets 01 | TODA_ARRIVAL
026 | PDFTextField       | widgets 01 | TODR_ARRIVAL
027 | PDFTextField       | widgets 01 | LDA_ARRIVAL
028 | PDFTextField       | widgets 01 | ROC_ARRIVAL
029 | PDFTextField       | widgets 01 | TODA_ALTERNATE_1
030 | PDFTextField       | widgets 01 | TODR_ALTERNATE_1
031 | PDFTextField       | widgets 01 | LDA_ALTERNATE_1
032 | PDFTextField       | widgets 01 | LDR_ALTERNATE_1
033 | PDFTextField       | widgets 01 | ROC_ALTERNATE_1
034 | PDFTextField       | widgets 01 | RWY_QFU_ALTERNATE_1
035 | PDFTextField       | widgets 01 | Elevation_ALTERNATE_1
036 | PDFTextField       | widgets 01 | QNH_ALTERNATE_1
037 | PDFTextField       | widgets 01 | Temperature_ALTERNATE_1
038 | PDFTextField       | widgets 01 | Wind_ALTERNATE_1
039 | PDFTextField       | widgets 01 | Pressure_Alt_ALTERNATE_1
040 | PDFTextField       | widgets 01 | Density_Alt_ALTERNATE_1
041 | PDFTextField       | widgets 01 | RWY_QFU_ALTERNATE_2
042 | PDFTextField       | widgets 01 | Elevation_ALTERNATE_2
043 | PDFTextField       | widgets 01 | QNH_ALTERNATE_2
044 | PDFTextField       | widgets 01 | Temperature_ALTERNATE_2
045 | PDFTextField       | widgets 01 | Wind_ALTERNATE_2
046 | PDFTextField       | widgets 01 | Pressure_Alt_ALTERNATE_2
047 | PDFTextField       | widgets 01 | Density_Alt_ALTERNATE_2
048 | PDFTextField       | widgets 01 | Aircraft_Reg
049 | PDFTextField       | widgets 01 | MTOW
050 | PDFTextField       | widgets 01 | MLW
051 | PDFTextField       | widgets 01 | Start-up_and_Taxi_TIME
052 | PDFTextField       | widgets 01 | CLIMB_TIME
053 | PDFTextField       | widgets 01 | ENROUTE_TIME
054 | PDFTextField       | widgets 01 | DESCENT_TIME
055 | PDFTextField       | widgets 01 | TRIP_TIME
056 | PDFTextField       | widgets 01 | Contingency_TIME
057 | PDFTextField       | widgets 01 | ALTERNATE_TIME
058 | PDFTextField       | widgets 01 | RESERVE_TIME
059 | PDFTextField       | widgets 01 | REQUIRED_TIME
060 | PDFTextField       | widgets 01 | EXTRA_TIME
061 | PDFTextField       | widgets 01 | Total_TIME
062 | PDFTextField       | widgets 01 | Total_FUEL
063 | PDFTextField       | widgets 01 | EXTRA_FUEL
064 | PDFTextField       | widgets 01 | RESERVE_FUEL
065 | PDFTextField       | widgets 01 | ALTERNATE_FUEL
066 | PDFTextField       | widgets 01 | Contingency_FUEL
067 | PDFTextField       | widgets 01 | TRIP_FUEL
068 | PDFTextField       | widgets 01 | DESCENT_FUEL
069 | PDFTextField       | widgets 01 | ENROUTE_FUEL
070 | PDFTextField       | widgets 01 | CLIMB_FUEL
071 | PDFTextField       | widgets 01 | Start-up_and_Taxi_FUEL
072 | PDFTextField       | widgets 01 | REQUIRED_FUEL
073 | PDFTextField       | widgets 01 | TODA_ALTERNATE_2
074 | PDFTextField       | widgets 01 | TODR_ALTERNATE_2
075 | PDFTextField       | widgets 01 | LDA_ALTERNATE_2
076 | PDFTextField       | widgets 01 | LDR_ALTERNATE_2
077 | PDFTextField       | widgets 01 | ROC_ALTERNATE_2
078 | PDFTextField       | widgets 01 | Datum_EMPTY
079 | PDFTextField       | widgets 01 | Moment_EMPTY
080 | PDFTextField       | widgets 01 | Weight_FRONT
081 | PDFTextField       | widgets 01 | Moment_FRONT
082 | PDFTextField       | widgets 01 | Weight_REAR
083 | PDFTextField       | widgets 01 | Moment_REAR
084 | PDFTextField       | widgets 01 | Weight_FUEL
085 | PDFTextField       | widgets 01 | Moment_FUEL
086 | PDFTextField       | widgets 01 | Weight_BAGGAGE
087 | PDFTextField       | widgets 01 | Moment_BAGGAGE
088 | PDFTextField       | widgets 01 | Weight_RAMP
089 | PDFTextField       | widgets 01 | Datum_RAMP
090 | PDFTextField       | widgets 01 | Moment_RAMP
091 | PDFTextField       | widgets 01 | Weight_TAKEOFF
092 | PDFTextField       | widgets 01 | Datum_TAKEOFF
093 | PDFTextField       | widgets 01 | Moment_TAKEOFF
094 | PDFTextField       | widgets 01 | Weight_EMPTY
095 | PDFTextField       | widgets 01 | LDR_ARRIVAL

=== public/legacy/templates/TecnamP2008MBPerformanceSheet_MissionX.pdf ===
Pages: 2
Fields: 75
001 | PDFTextField       | widgets 01 | Fuel_W
002 | PDFTextField       | widgets 01 | Pilot&Passenger_W
003 | PDFTextField       | widgets 01 | Baggage_W
004 | PDFTextField       | widgets 01 | EmptyWeight_W
005 | PDFTextField       | widgets 01 | EmptyWeight_A
006 | PDFTextField       | widgets 01 | EmptyWeight_M
007 | PDFTextField       | widgets 01 | Fuel_M
008 | PDFTextField       | widgets 01 | Pilot&Passenger_M
009 | PDFTextField       | widgets 01 | Baggage_M
010 | PDFTextField       | widgets 01 | TOTAL_M
011 | PDFTextField       | widgets 01 | TOTAL_W
012 | PDFTextField       | widgets 01 | CG
013 | PDFTextField       | widgets 01 | Date
014 | PDFTextField       | widgets 01 | Aircraf_Reg
015 | PDFTextField       | widgets 01 | Airfield_Dep
016 | PDFTextField       | widgets 01 | Airfield_Arr
017 | PDFTextField       | widgets 01 | Airfield_Alt
018 | PDFTextField       | widgets 01 | QFU_Dep
019 | PDFTextField       | widgets 01 | QFU_Arr
020 | PDFTextField       | widgets 01 | QFU_Alt
021 | PDFTextField       | widgets 01 | Elev_Dep
022 | PDFTextField       | widgets 01 | Elev_Alt
023 | PDFTextField       | widgets 01 | QNH_Dep
024 | PDFTextField       | widgets 01 | QNH_Arr
025 | PDFTextField       | widgets 01 | QNH_Alt
026 | PDFTextField       | widgets 01 | Temp_Dep
027 | PDFTextField       | widgets 01 | Temp_Arr
028 | PDFTextField       | widgets 01 | Temp_Alt
029 | PDFTextField       | widgets 01 | Wind_Dep
030 | PDFTextField       | widgets 01 | Wind_Arr
031 | PDFTextField       | widgets 01 | Wind_Alt
032 | PDFTextField       | widgets 01 | PA_Dep
033 | PDFTextField       | widgets 01 | DA_Dep
034 | PDFTextField       | widgets 01 | PA_Arr
035 | PDFTextField       | widgets 01 | DA_Arr
036 | PDFTextField       | widgets 01 | PA_Alt
037 | PDFTextField       | widgets 01 | DA_Alt
038 | PDFTextField       | widgets 01 | TODA_Dep
039 | PDFTextField       | widgets 01 | TODA_Arr
040 | PDFTextField       | widgets 01 | TODA_Alt
041 | PDFTextField       | widgets 01 | TODR_Dep
042 | PDFTextField       | widgets 01 | TODR_Arr
043 | PDFTextField       | widgets 01 | TODR_Alt
044 | PDFTextField       | widgets 01 | LDA_Dep
045 | PDFTextField       | widgets 01 | LDA_Arr
046 | PDFTextField       | widgets 01 | LDA_Alt
047 | PDFTextField       | widgets 01 | LDR_Dep
048 | PDFTextField       | widgets 01 | LDR_Arr
049 | PDFTextField       | widgets 01 | LDR_Alt
050 | PDFTextField       | widgets 01 | ROC_Dep
051 | PDFTextField       | widgets 01 | ROC_Arr
052 | PDFTextField       | widgets 01 | ROC_Alt
053 | PDFTextField       | widgets 01 | Ramp_T
054 | PDFTextField       | widgets 01 | Extra_T
055 | PDFTextField       | widgets 01 | Total_T
056 | PDFTextField       | widgets 01 | Ramp_F
057 | PDFTextField       | widgets 01 | Extra_F
058 | PDFTextField       | widgets 01 | Total_F
059 | PDFTextField       | widgets 01 | Taxi_T
060 | PDFTextField       | widgets 01 | Taxi_F
061 | PDFTextField       | widgets 01 | Elev_Arr
062 | PDFTextField       | widgets 01 | Trip_F
063 | PDFTextField       | widgets 01 | Reserve_F
064 | PDFTextField       | widgets 01 | Reserve_T
065 | PDFTextField       | widgets 01 | Contingency_T
066 | PDFTextField       | widgets 01 | Contingency_F
067 | PDFTextField       | widgets 01 | Alternate_T
068 | PDFTextField       | widgets 01 | Alternate_F
069 | PDFTextField       | widgets 01 | Trip_T
070 | PDFTextField       | widgets 01 | Climb_T
071 | PDFTextField       | widgets 01 | Climb_F
072 | PDFTextField       | widgets 01 | Descent_T
073 | PDFTextField       | widgets 01 | Descent_F
074 | PDFTextField       | widgets 01 | Enroute_T
075 | PDFTextField       | widgets 01 | Enroute_F
